title,price,rating,seller,image,description
FUJIFILM 26230010 400/800GB LTO Ultrium 3 Tape Media 1 Pack,$33.99,Rating + 3,,https://c1.neweggimages.com/productimage/nb300/40-999-119-01.jpg,"Parts:1 year limited, Labor:1 year limited, Model #:26230010"
WD Black 1TB Hard Drive - 7200 RPM SATA 6Gb/s 64MB Cache 2.5 Inch - WD10SPSX,$61.00,Rating + 4.7,,https://c1.neweggimages.com/productimage/nb300/1Z4-0002-017H9-V07.jpg,"Height (maximum):7mm, Width (maximum):69.85mm, Length (maximum):100.20mm, Model #:WD10SPSX"
WD Black 5TB P10 Game Drive Portable External Hard Drive for PS5/PS4/Xbox One/PC/Mac USB 3.2 (WDBA3A0050BBK-WESN),$134.99,Rating + 4.6,,https://c1.neweggimages.com/productimage/nb300/22-234-385-S04.jpg,"Form Factor:2.5"", Dimensions:0.82"" x 3.46"" x 4.65"", Weight:0.52 lb., Package Contents:WD_BLACK P10 Game Drive
Quick Install Guide, Model #:WDBA3A0050BBK-WESN"
AMD Ryzen 7 9800X3D - Ryzen 7 9000 Series Zen 5 8-Core 5.2 GHz - Socket AM5 120W - AMD Radeon Graphics Desktop Processor - 100-100001084WOF,$479.00,Rating + 4.8,,https://c1.neweggimages.com/productimage/nb300/19-113-877-01.png,"Series:Ryzen 7 9000 Series, L3 Cache:96MB, L2 Cache:8MB, Cooling Device:Cooling device not included - Processor Only, Model #:100-100001084WOF"
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2E6000C36,$292.99,Rating + 4.3,,https://c1.neweggimages.com/productimage/nb300/20-236-879-03.jpg,"CAS Latency:CL36, Voltage:1.40V, Multi-channel Kit:Dual Channel Kit, Timing:36-44-44-96, Model #:CMH32GX5M2E6000C36"
MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Graphics Card RTX 3060 Ventus 2X 12G OC,$279.99,Rating + 4.8,,https://c1.neweggimages.com/productimage/nb300/14-137-632-03.jpg,"Max Resolution:7680 x 4320, DisplayPort:3 x DisplayPort 1.4a, HDMI:1 x HDMI 2.1, Card Dimensions (L x H):9.25"" x 4.88"", Model #:RTX3060Ventus2X12GOC"
G.SKILL Ripjaws Series 32GB (2 x 16GB) 260-Pin DDR4 SO-DIMM DDR4 3200 (PC4 25600) Laptop Memory Model F4-3200C22D-32GRS,$145.99,Rating + 4.8,,https://c1.neweggimages.com/productimage/nb300/20-374-024-S01.jpg,"CAS Latency:CL22, Timing:22-22-22-52, Voltage:1.20V, Multi-channel Kit:Dual Channel Kit, Model #:F4-3200C22D-32GRS"
"GIGABYTE Z790 AORUS PRO X LGA 1700(14th,13th,12th Gen) Intel Z790 X ATX Motherboard with DDR5, 5* M.2, PCIe 5.0, USB 3.2 Type-C, Wi-Fi 7, 5GbE LAN, Q-Flash Plus, EZ-Latch Plus",$299.99,Rating + 3.9,,https://c1.neweggimages.com/productimage/nb300/13-145-477-01.jpg,"Memory Standard:Support for DDR5 8266(O.C) / 8200(O.C) / 8000(O.C) / 7950(O.C) / 7900(O.C) / 7800(O.C) / 7600(O.C.) / 7400(O.C.) / 7200(O.C.) / 7000(O.C.) / 6800(O.C.) / 6600(O.C.) / 6400(O.C.) / 6200(O.C.) / 6000(O.C.) / 5800(O.C.) / 5600(O.C.) / 5400(O.C.) / 5200(O.C.) / 4800 / 4000 MT/s memory modules, Number of Memory Slots:4x288pin (DDR5), Audio Chipset:Realtek ALC1220-VB CODEC
*The back panel line out jack supports DSD audio.

High Definition Audio
2/4/5.1/7.1-channel
* You can change the functionality of an audio jack using the audio software. To configure 7.1-channel audio, access the audio software for audio settings.

Support for S/PDIF Out, Brand:GIGABYTE, Model #:Z790 AORUS PRO X"
G.SKILL Ripjaws SO-DIMM 32GB (2 x 16GB) 262-Pin DDR5 SO-DIMM DDR5 5600 (PC5 44800) Laptop Memory Model F5-5600S4040A16GX2-RS,$194.99,Rating + 4.7,,https://c1.neweggimages.com/productimage/nb300/20-374-398-V01.jpg,"CAS Latency:CL40, Timing:40-40-40, Voltage:1.10V, Multi-channel Kit:Dual Channel Kit, Model #:F5-5600S4040A16GX2-RS"
"GIGABYTE Z790 AORUS ELITE X WIFI7 LGA 1700(14th,13th,12th Gen) Intel Z790 X ATX Motherboard with DDR5, 4 M.2, PCIe 5.0, USB 3.2 Type-C, Wi-Fi 7, 2.5GbE LAN, Q-Flash Plus, EZ-Latch Plus",$239.99,Rating + 3.9,,https://c1.neweggimages.com/productimage/nb300/13-145-478-01.jpg,"Memory Standard:Support for DDR5 8266(O.C) / 8200(O.C) / 8000(O.C) / 7950(O.C) / 7900(O.C) / 7800(O.C) / 7600(O.C.) / 7400(O.C.) / 7200(O.C.) / 7000(O.C.) / 6800(O.C.) / 6600(O.C.) / 6400(O.C.) / 6200(O.C.) / 6000(O.C.) / 5800(O.C.) / 5600(O.C.) / 5400(O.C.) / 5200(O.C.) / 4800 / 4000 MT/s memory modules, Number of Memory Slots:4x288pin (DDR5), Audio Chipset:Realtek ALC1220-VB CODEC
* The back panel line out jack supports DSD audio.
High Definition Audio
2/4/5.1/7.1-channel
* You can change the functionality of an audio jack using the audio software. To configure 7.1-channel audio, access the audio software for audio settings.
Support for S/PDIF Out, Brand:GIGABYTE, Model #:Z790 AORUS ELITE X WIFI7"
CORSAIR Vengeance 32GB (2 x 16GB) 260-Pin DDR4 SO-DIMM DDR4 3200 (PC4 25600) Laptop Memory Model CMSX32GX4M2A3200C22,$164.99,Rating + 4.6,,https://c1.neweggimages.com/productimage/nb300/20-236-681-03.png,"CAS Latency:CL22, Timing:22-22-22-53, Voltage:1.20V, Features:32GB (2x16GB) DDR4 SODIMM kit for 8th Generation or newer Intel Core i7, and AMD Ryzen 4000 Seires notebooks

3200MHz

22-22-22-53 latency

1.2V

Auto-overclocking with compatible notebooks (no BIOS configuration required), Model #:CMSX32GX4M2A3200C22"
G.SKILL Ripjaws Series 16GB 260-Pin DDR4 SO-DIMM DDR4 3200 (PC4 25600) Laptop Memory Model F4-3200C22S-16GRS,$69.00,Rating + 4.8,,https://c1.neweggimages.com/productimage/nb300/20-374-027-S01.jpg,"CAS Latency:CL22, Timing:22-22-22-52, Voltage:1.20V, Features:Optimized Compatibility with 10th / 11th Gen Intel Core Processors, Model #:F4-3200C22S-16GRS"
CORSAIR Vengeance 32GB (2 x 16GB) 262-Pin DDR5 SO-DIMM DDR5 5600 (PC5 44800) Laptop Memory Model CMSX32GX5M2A5600C48,$269.99,Rating + 4.6,,https://c1.neweggimages.com/productimage/nb300/20-236-852-V01.jpg,"CAS Latency:CL48, Timing:48-48-48-90, Voltage:1.10V, Part Number:CMSX32GX5M2A5600C48, Model #:CMSX32GX5M2A5600C48"
G.SKILL Ripjaws SO-DIMM 32GB (2 x 16GB) 262-Pin DDR5 SO-DIMM DDR5 4800 (PC4 38400) Laptop Memory Model F5-4800S3434A16GX2-RS,$189.99,Rating + 4.7,,https://c1.neweggimages.com/productimage/nb300/20-374-388-V01.jpg,"CAS Latency:CL34, Timing:34-34-34-76, Voltage:1.10V, Buffered/Registered:Unbuffered, Model #:F5-4800S3434A16GX2-RS"
